TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073314.00  ENLEM: 25682.000000 BOYLAM: 57193.000000  RAKIM: 114.0
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073315.00  ENLEM: 25686.000000 BOYLAM: 57179.000000  RAKIM: 114.4
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
TARİH: 050717 SAAT: 073316.00  ENLEM: 25689.000000 BOYLAM: 57162.000000  RAKIM: 114.8
